Date,Close/Last
11/15/2021,$111.87 
11/16/2021,$112.23 
11/17/2021,$112.52 
11/18/2021,$112.90 
11/19/2021,$110.78 
11/22/2021,$111.45 
11/23/2021,$113.58 
11/24/2021,$113.97 
11/26/2021,$110.66 
11/29/2021,$110.73 
11/30/2021,$109.64 
12/1/2021,$108.66 
12/2/2021,$111.42 
12/3/2021,$111.24 
12/6/2021,$113.36 
12/7/2021,$116.26 
12/8/2021,$116.25 
12/9/2021,$115.35 
12/10/2021,$116.73 
12/13/2021,$115.56 
12/14/2021,$114.71 
12/15/2021,$114.68 
12/16/2021,$113.59 
12/17/2021,$108.63 
12/20/2021,$108.09 
12/21/2021,$110.37 
12/22/2021,$111.74 
12/23/2021,$112.37 
12/27/2021,$114.22 
12/28/2021,$115.57 
12/29/2021,$116.38 
12/30/2021,$116.24 
12/31/2021,$116.97 
1/3/2022,$116.68 
1/4/2022,$114.24 
1/5/2022,$110.44 
1/6/2022,$111.14 
1/7/2022,$107.57 
1/10/2022,$106.03 
1/11/2022,$104.04 
1/12/2022,$103.87 
1/13/2022,$102.40 
1/14/2022,$100.12 
1/18/2022,$97.73 
1/19/2022,$96.87 
1/20/2022,$95.72 
1/21/2022,$96.31 
1/24/2022,$98.10 
1/25/2022,$97.01 
1/26/2022,$95.58 
1/27/2022,$95.32 
1/28/2022,$97.21 
1/31/2022,$98.32 
2/1/2022,$98.76 
2/2/2022,$97.73 
2/3/2022,$95.94 
2/4/2022,$95.00 
2/7/2022,$95.19 
2/8/2022,$94.92 
2/9/2022,$97.13 
2/10/2022,$95.31 
2/11/2022,$93.73 
2/14/2022,$93.65 
2/15/2022,$94.51 
2/16/2022,$95.18 
2/17/2022,$93.05 
2/18/2022,$93.34 
2/22/2022,$93.11 
2/23/2022,$89.65 
2/24/2022,$91.01 
2/25/2022,$92.58 
2/28/2022,$91.79 
3/1/2022,$90.14 
3/2/2022,$92.77 
3/3/2022,$91.53 
3/4/2022,$90.03 
3/7/2022,$84.46 
3/8/2022,$84.00 
3/9/2022,$87.60 
3/10/2022,$87.16 
3/11/2022,$82.73 
3/14/2022,$79.29 
3/15/2022,$83.12 
3/16/2022,$87.41 
3/17/2022,$87.66 
3/18/2022,$89.60 
3/21/2022,$86.86 
3/22/2022,$87.89 
3/23/2022,$86.22 
3/24/2022,$87.12 
3/25/2022,$87.45 
3/28/2022,$88.38 
3/29/2022,$91.23 
3/30/2022,$91.03 
3/31/2022,$90.97 
4/1/2022,$91.49 
4/4/2022,$88.09 
4/5/2022,$84.12 
4/6/2022,$83.36 
4/7/2022,$83.12 
4/8/2022,$81.52 
4/11/2022,$80.68 
4/12/2022,$79.79 
4/13/2022,$80.92 
4/14/2022,$79.50 
4/18/2022,$79.60 
4/19/2022,$81.22 
4/20/2022,$80.17 
4/21/2022,$78.96 
4/22/2022,$77.92 
4/25/2022,$77.98 
4/26/2022,$75.63 
4/27/2022,$74.74 
4/28/2022,$76.58 
4/29/2022,$74.64 
5/2/2022,$75.37 
5/3/2022,$74.33 
5/4/2022,$81.64 
5/5/2022,$77.48 
5/6/2022,$76.52 
5/9/2022,$73.49 
5/10/2022,$71.86 
5/11/2022,$70.06 
5/12/2022,$69.90 
5/13/2022,$75.60 
5/16/2022,$72.42 
5/17/2022,$73.72 
5/18/2022,$71.28 
5/19/2022,$71.93 
5/20/2022,$73.39 
5/23/2022,$73.42 
5/24/2022,$72.72 
5/25/2022,$72.48 
5/26/2022,$74.49 
5/27/2022,$76.71 
