Date,Close/Last
5/24/2021,$250.78 
5/25/2021,$251.72 
5/26/2021,$251.49 
5/27/2021,$249.31 
5/28/2021,$249.68 
6/1/2021,$247.40 
6/2/2021,$247.30 
6/3/2021,$245.71 
6/4/2021,$250.79 
6/7/2021,$253.81 
6/8/2021,$252.57 
6/9/2021,$253.59 
6/10/2021,$257.24 
6/11/2021,$257.89 
6/14/2021,$259.89 
6/15/2021,$258.36 
6/16/2021,$257.38 
6/17/2021,$260.90 
6/18/2021,$259.43 
6/21/2021,$262.63 
6/22/2021,$265.51 
6/23/2021,$265.28 
6/24/2021,$266.69 
6/25/2021,$265.02 
6/28/2021,$268.72 
6/29/2021,$271.40 
6/30/2021,$270.90 
7/1/2021,$271.60 
7/2/2021,$277.65 
7/6/2021,$277.66 
7/7/2021,$279.93 
7/8/2021,$277.42 
7/9/2021,$277.94 
7/12/2021,$277.32 
7/13/2021,$280.98 
7/14/2021,$282.51 
7/15/2021,$281.03 
7/16/2021,$280.75 
7/19/2021,$277.01 
7/20/2021,$279.32 
7/21/2021,$281.40 
7/22/2021,$286.14 
7/23/2021,$289.67 
7/26/2021,$289.05 
7/27/2021,$286.54 
7/28/2021,$286.22 
7/29/2021,$286.50 
7/30/2021,$284.91 
8/2/2021,$284.82 
8/3/2021,$287.12 
8/4/2021,$286.51 
8/5/2021,$289.52 
8/6/2021,$289.46 
8/9/2021,$288.33 
8/10/2021,$286.44 
8/11/2021,$286.95 
8/12/2021,$289.81 
8/13/2021,$292.85 
8/16/2021,$294.60 
8/17/2021,$293.08 
8/18/2021,$290.73 
8/19/2021,$296.77 
8/20/2021,$304.36 
8/23/2021,$304.65 
8/24/2021,$302.62 
8/25/2021,$302.01 
8/26/2021,$299.09 
8/27/2021,$299.72 
8/30/2021,$303.59 
8/31/2021,$301.88 
9/1/2021,$301.83 
9/2/2021,$301.15 
9/3/2021,$301.14 
9/7/2021,$300.18 
9/8/2021,$300.21 
9/9/2021,$297.25 
9/10/2021,$295.71 
9/13/2021,$296.99 
9/14/2021,$299.79 
9/15/2021,$304.82 
9/16/2021,$305.22 
9/17/2021,$299.87 
9/20/2021,$294.30 
9/21/2021,$294.80 
9/22/2021,$298.58 
9/23/2021,$299.56 
9/24/2021,$299.35 
9/27/2021,$294.17 
9/28/2021,$283.52 
9/29/2021,$284.00 
9/30/2021,$281.92 
10/1/2021,$289.10 
10/4/2021,$283.11 
10/5/2021,$288.76 
10/6/2021,$293.11 
10/7/2021,$294.85 
10/8/2021,$294.85 
10/11/2021,$294.23 
10/12/2021,$292.88 
10/13/2021,$296.31 
10/14/2021,$302.75 
10/15/2021,$304.21 
10/18/2021,$307.29 
10/19/2021,$308.23 
10/20/2021,$307.41 
10/21/2021,$310.76 
10/22/2021,$309.16 
10/25/2021,$308.13 
10/26/2021,$310.11 
10/27/2021,$323.17 
10/28/2021,$324.35 
10/29/2021,$331.62 
11/1/2021,$329.37 
11/2/2021,$333.13 
11/3/2021,$334.00 
11/4/2021,$336.44 
11/5/2021,$336.06 
11/8/2021,$336.99 
11/9/2021,$335.95 
11/10/2021,$330.80 
11/11/2021,$332.43 
11/12/2021,$336.72 
11/15/2021,$336.07 
11/16/2021,$339.51 
11/17/2021,$339.12 
11/18/2021,$341.27 
11/19/2021,$343.11 
11/22/2021,$339.83 
11/23/2021,$337.68 
11/24/2021,$337.91 
11/26/2021,$329.68 
11/29/2021,$336.63 
11/30/2021,$330.59 
12/1/2021,$330.08 
12/2/2021,$329.49 
12/3/2021,$323.01 
12/6/2021,$326.19 
12/7/2021,$334.92 
12/8/2021,$334.97 
12/9/2021,$333.10 
12/10/2021,$342.54 
12/13/2021,$339.40 
12/14/2021,$328.34 
12/15/2021,$334.65 
12/16/2021,$324.90 
12/17/2021,$323.80 
12/20/2021,$319.91 
12/21/2021,$327.29 
12/22/2021,$333.20 
12/23/2021,$334.69 
12/27/2021,$342.45 
12/28/2021,$341.25 
12/29/2021,$341.95 
12/30/2021,$339.32 
12/31/2021,$336.32 
1/3/2022,$334.75 
1/4/2022,$329.01 
1/5/2022,$316.38 
1/6/2022,$313.88 
1/7/2022,$314.04 
1/10/2022,$314.27 
1/11/2022,$314.98 
1/12/2022,$318.27 
1/13/2022,$304.80 
1/14/2022,$310.20 
1/18/2022,$302.65 
1/19/2022,$303.33 
1/20/2022,$301.60 
1/21/2022,$296.03 
1/24/2022,$296.37 
1/25/2022,$288.49 
1/26/2022,$296.71 
1/27/2022,$299.84 
1/28/2022,$308.26 
1/31/2022,$310.98 
2/1/2022,$308.76 
2/2/2022,$313.46 
2/3/2022,$301.25 
2/4/2022,$305.94 
2/7/2022,$300.95 
2/8/2022,$304.56 
2/9/2022,$311.21 
2/10/2022,$302.38 
2/11/2022,$295.04 
2/14/2022,$295.00 
2/15/2022,$300.47 
2/16/2022,$299.50 
2/17/2022,$290.73 
2/18/2022,$287.93 
2/22/2022,$287.72 
2/23/2022,$280.27 
2/24/2022,$294.59 
2/25/2022,$297.31 
2/28/2022,$298.79 
3/1/2022,$294.95 
3/2/2022,$300.19 
3/3/2022,$295.92 
3/4/2022,$289.86 
3/7/2022,$278.91 
3/8/2022,$275.85 
3/9/2022,$288.50 
3/10/2022,$285.59 
3/11/2022,$280.07 
3/14/2022,$276.44 
3/15/2022,$287.15 
3/16/2022,$294.39 
3/17/2022,$295.22 
3/18/2022,$300.43 
3/21/2022,$299.16 
3/22/2022,$304.06 
3/23/2022,$299.49 
3/24/2022,$304.10 
3/25/2022,$303.68 
3/28/2022,$310.70 
3/29/2022,$315.41 
3/30/2022,$313.86 
3/31/2022,$308.31 
4/1/2022,$309.42 
4/4/2022,$314.97 
4/5/2022,$310.88 
4/6/2022,$299.50 
4/7/2022,$301.37 
4/8/2022,$296.97 
4/11/2022,$285.26 
4/12/2022,$282.06 
4/13/2022,$287.62 
4/14/2022,$279.83 
4/18/2022,$280.52 
4/19/2022,$285.30 
4/20/2022,$286.36 
4/21/2022,$280.81 
4/22/2022,$274.03 
4/25/2022,$280.72 
4/26/2022,$270.22 
4/27/2022,$283.22 
4/28/2022,$289.63 
4/29/2022,$277.52 
5/2/2022,$284.47 
5/3/2022,$281.78 
5/4/2022,$289.98 
5/5/2022,$277.35 
5/6/2022,$274.73 
5/9/2022,$264.58 
5/10/2022,$269.50 
5/11/2022,$260.55 
5/12/2022,$255.35 
5/13/2022,$261.12 
5/16/2022,$261.50 
5/17/2022,$266.82 
5/18/2022,$254.08 
5/19/2022,$253.14 
5/20/2022,$252.56 
5/23/2022,$260.65 
5/24/2022,$259.62 
5/25/2022,$262.52 
5/26/2022,$265.90 
5/27/2022,$273.24 
5/31/2022,$271.87 
6/1/2022,$272.42 
6/2/2022,$274.58 
6/3/2022,$270.02 
6/6/2022,$268.75 
6/7/2022,$272.50 
6/8/2022,$270.41 
6/9/2022,$264.79 
6/10/2022,$252.99 
6/13/2022,$242.26 
6/14/2022,$244.49 
6/15/2022,$251.76 
6/16/2022,$244.97 
6/17/2022,$247.65 
6/21/2022,$253.74 
6/22/2022,$253.13 
6/23/2022,$258.86 
6/24/2022,$267.70 
6/27/2022,$264.89 
6/28/2022,$256.48 
6/29/2022,$260.26 
6/30/2022,$256.83 
7/1/2022,$259.58 
7/5/2022,$262.85 
7/6/2022,$266.21 
7/7/2022,$268.40 
7/8/2022,$267.66 
7/11/2022,$264.51 
7/12/2022,$253.67 
7/13/2022,$252.72 
7/14/2022,$254.08 
7/15/2022,$256.72 
7/18/2022,$254.25 
7/19/2022,$259.53 
7/20/2022,$262.27 
7/21/2022,$264.84 
7/22/2022,$260.36 
7/25/2022,$258.83 
7/26/2022,$251.90 
7/27/2022,$268.74 
7/28/2022,$276.41 
7/29/2022,$280.74 
8/1/2022,$278.01 
8/2/2022,$274.82 
8/3/2022,$282.47 
8/4/2022,$283.65 
8/5/2022,$282.91 
8/8/2022,$280.32 
8/9/2022,$282.30 
8/10/2022,$289.16 
8/11/2022,$287.02 
8/12/2022,$291.91 
8/15/2022,$293.47 
8/16/2022,$292.71 
8/17/2022,$291.32 
8/18/2022,$290.17 
8/19/2022,$286.15 
8/22/2022,$277.75 
8/23/2022,$276.44 
8/24/2022,$275.79 
8/25/2022,$278.85 
8/26/2022,$268.09 
8/29/2022,$265.23 
8/30/2022,$262.97 
8/31/2022,$261.47 
9/1/2022,$260.40 
9/2/2022,$256.06 
9/6/2022,$253.25 
9/7/2022,$258.09 
9/8/2022,$258.52 
9/9/2022,$264.46 
9/12/2022,$266.65 
9/13/2022,$251.99 
9/14/2022,$252.22 
9/15/2022,$245.38 
9/16/2022,$244.74 
9/19/2022,$244.52 
9/20/2022,$242.45 
9/21/2022,$238.95 
9/22/2022,$240.98 
9/23/2022,$237.92 
9/26/2022,$237.45 
9/27/2022,$236.41 
9/28/2022,$241.07 
9/29/2022,$237.50 
9/30/2022,$232.90 
10/3/2022,$240.74 
10/4/2022,$248.88 
10/5/2022,$249.20 
10/6/2022,$246.79 
10/7/2022,$234.24 
10/10/2022,$229.25 
10/11/2022,$225.41 
10/12/2022,$225.75 
10/13/2022,$234.24 
10/14/2022,$228.56 
10/17/2022,$237.53 
10/18/2022,$238.50 
10/19/2022,$236.48 
10/20/2022,$236.15 
10/21/2022,$242.12 
10/24/2022,$247.25 
10/25/2022,$250.66 
10/26/2022,$231.32 
10/27/2022,$226.75 
10/28/2022,$235.87 
10/31/2022,$232.13 
11/1/2022,$228.17 
11/2/2022,$220.10 
11/3/2022,$214.25 
11/4/2022,$221.39 
11/7/2022,$227.87 
11/8/2022,$228.87 
11/9/2022,$224.51 
11/10/2022,$242.98 
11/11/2022,$247.11 
11/14/2022,$241.55 
11/15/2022,$241.97 
11/16/2022,$241.73 
11/17/2022,$241.68 
11/18/2022,$241.22 
11/21/2022,$242.05 
11/22/2022,$245.03 
11/23/2022,$247.58 
11/25/2022,$247.49 
11/28/2022,$241.76 
11/29/2022,$240.33 
11/30/2022,$255.14 
12/1/2022,$254.69 
12/2/2022,$255.02 
12/5/2022,$250.20 
12/6/2022,$245.12 
12/7/2022,$244.37 
12/8/2022,$247.40 
12/9/2022,$245.42 
12/12/2022,$252.51 
12/13/2022,$256.92 
12/14/2022,$257.22 
12/15/2022,$249.01 
12/16/2022,$244.69 
12/19/2022,$240.45 
12/20/2022,$241.80 
12/21/2022,$244.43 
12/22/2022,$238.19 
