Date,Close/Last
5/24/2021,$324.63 
5/25/2021,$327.79 
5/26/2021,$327.66 
5/27/2021,$332.75 
5/28/2021,$328.73 
6/1/2021,$329.13 
6/2/2021,$329.15 
6/3/2021,$326.04 
6/4/2021,$330.35 
6/7/2021,$336.58 
6/8/2021,$333.68 
6/9/2021,$330.25 
6/10/2021,$332.46 
6/11/2021,$331.26 
6/14/2021,$336.77 
6/15/2021,$336.75 
6/16/2021,$331.08 
6/17/2021,$336.51 
6/18/2021,$329.66 
6/21/2021,$332.29 
6/22/2021,$339.03 
6/23/2021,$340.59 
6/24/2021,$343.18 
6/25/2021,$341.37 
6/28/2021,$355.64 
6/29/2021,$351.89 
6/30/2021,$347.71 
7/1/2021,$354.39 
7/2/2021,$354.70 
7/6/2021,$352.78 
7/7/2021,$350.49 
7/8/2021,$345.65 
7/9/2021,$350.42 
7/12/2021,$353.16 
7/13/2021,$352.09 
7/14/2021,$347.63 
7/15/2021,$344.46 
7/16/2021,$341.16 
7/19/2021,$336.95 
7/20/2021,$341.66 
7/21/2021,$346.23 
7/22/2021,$351.19 
7/23/2021,$369.79 
7/26/2021,$372.46 
7/27/2021,$367.81 
7/28/2021,$373.28 
7/29/2021,$358.32 
7/30/2021,$356.30 
8/2/2021,$351.95 
8/3/2021,$351.24 
8/4/2021,$358.92 
8/5/2021,$362.97 
8/6/2021,$363.51 
8/9/2021,$361.61 
8/10/2021,$361.13 
8/11/2021,$359.96 
8/12/2021,$362.65 
8/13/2021,$363.18 
8/16/2021,$366.56 
8/17/2021,$358.45 
8/18/2021,$355.45 
8/19/2021,$355.12 
8/20/2021,$359.37 
8/23/2021,$363.35 
8/24/2021,$365.51 
8/25/2021,$368.39 
8/26/2021,$364.38 
8/27/2021,$372.63 
8/30/2021,$380.66 
8/31/2021,$379.38 
9/1/2021,$382.05 
9/2/2021,$375.28 
9/3/2021,$376.26 
9/7/2021,$382.18 
9/8/2021,$377.57 
9/9/2021,$378.00 
9/10/2021,$378.69 
9/13/2021,$376.51 
9/14/2021,$376.53 
9/15/2021,$373.92 
9/16/2021,$373.06 
9/17/2021,$364.72 
9/20/2021,$355.70 
9/21/2021,$357.48 
9/22/2021,$343.21 
9/23/2021,$345.96 
9/24/2021,$352.96 
9/27/2021,$353.58 
9/28/2021,$340.65 
9/29/2021,$339.61 
9/30/2021,$339.39 
10/1/2021,$343.01 
10/4/2021,$326.23 
10/5/2021,$332.96 
10/6/2021,$333.64 
10/7/2021,$329.22 
10/8/2021,$330.05 
10/11/2021,$325.45 
10/12/2021,$323.77 
10/13/2021,$324.54 
10/14/2021,$328.53 
10/15/2021,$324.76 
10/18/2021,$335.34 
10/19/2021,$339.99 
10/20/2021,$340.78 
10/21/2021,$341.88 
10/22/2021,$324.61 
10/25/2021,$328.69 
10/26/2021,$315.81 
10/27/2021,$312.22 
10/28/2021,$316.92 
10/29/2021,$323.57 
11/1/2021,$329.98 
11/2/2021,$328.08 
11/3/2021,$331.62 
11/4/2021,$335.85 
11/5/2021,$341.13 
11/8/2021,$338.62 
11/9/2021,$335.37 
11/10/2021,$327.64 
11/11/2021,$327.74 
11/12/2021,$340.89 
11/15/2021,$347.56 
11/16/2021,$342.96 
11/17/2021,$340.77 
11/18/2021,$338.69 
11/19/2021,$345.30 
11/22/2021,$341.01 
11/23/2021,$337.25 
11/24/2021,$341.06 
11/26/2021,$333.12 
11/29/2021,$338.03 
11/30/2021,$324.46 
12/1/2021,$310.60 
12/2/2021,$310.39 
12/3/2021,$306.84 
12/6/2021,$317.87 
12/7/2021,$322.81 
12/8/2021,$330.56 
12/9/2021,$329.82 
12/10/2021,$329.75 
12/13/2021,$334.49 
12/14/2021,$333.74 
12/15/2021,$341.66 
12/16/2021,$334.90 
12/17/2021,$333.79 
12/20/2021,$325.45 
12/21/2021,$334.20 
12/22/2021,$330.45 
12/23/2021,$335.24 
12/27/2021,$346.18 
12/28/2021,$346.22 
12/29/2021,$342.94 
12/30/2021,$344.36 
12/31/2021,$336.35 
1/3/2022,$338.54 
1/4/2022,$336.53 
1/5/2022,$324.17 
1/6/2022,$332.46 
1/7/2022,$331.79 
1/10/2022,$328.07 
1/11/2022,$334.37 
1/12/2022,$333.26 
1/13/2022,$326.48 
1/14/2022,$331.90 
1/18/2022,$318.15 
1/19/2022,$319.59 
1/20/2022,$316.56 
1/21/2022,$303.17 
1/24/2022,$308.71 
1/25/2022,$300.15 
1/26/2022,$294.63 
1/27/2022,$294.64 
1/28/2022,$301.71 
1/31/2022,$313.26 
2/1/2022,$319.00 
2/2/2022,$323.00 
2/3/2022,$237.76 
2/4/2022,$237.09 
2/7/2022,$224.91 
2/8/2022,$220.18 
2/9/2022,$232.00 
2/10/2022,$228.07 
2/11/2022,$219.55 
2/14/2022,$217.70 
2/15/2022,$221.00 
2/16/2022,$216.54 
2/17/2022,$207.71 
2/18/2022,$206.16 
2/22/2022,$202.08 
2/23/2022,$198.45 
2/24/2022,$207.60 
2/25/2022,$210.48 
2/28/2022,$211.03 
3/1/2022,$203.49 
3/2/2022,$208.11 
3/3/2022,$202.97 
3/4/2022,$200.06 
3/7/2022,$187.47 
3/8/2022,$190.29 
3/9/2022,$198.50 
3/10/2022,$195.21 
3/11/2022,$187.61 
3/14/2022,$186.63 
3/15/2022,$192.03 
3/16/2022,$203.63 
3/17/2022,$207.84 
3/18/2022,$216.49 
3/21/2022,$211.49 
3/22/2022,$216.65 
3/23/2022,$213.46 
3/24/2022,$219.57 
3/25/2022,$221.82 
3/28/2022,$223.59 
3/29/2022,$229.86 
3/30/2022,$227.85 
3/31/2022,$222.36 
4/1/2022,$224.85 
4/4/2022,$233.89 
4/5/2022,$231.84 
4/6/2022,$223.30 
4/7/2022,$222.95 
4/8/2022,$222.33 
4/11/2022,$216.46 
4/12/2022,$214.14 
4/13/2022,$214.99 
4/14/2022,$210.18 
4/18/2022,$210.77 
4/19/2022,$217.31 
4/20/2022,$200.42 
4/21/2022,$188.07 
4/22/2022,$184.11 
4/25/2022,$186.99 
4/26/2022,$180.95 
4/27/2022,$174.95 
4/28/2022,$205.73 
4/29/2022,$200.47 
5/2/2022,$211.13 
5/3/2022,$212.03 
5/4/2022,$223.41 
5/5/2022,$208.28 
5/6/2022,$203.77 
5/9/2022,$196.21 
5/10/2022,$197.65 
5/11/2022,$188.74 
5/12/2022,$191.24 
5/13/2022,$198.62 
5/16/2022,$200.04 
5/17/2022,$202.62 
5/18/2022,$192.24 
5/19/2022,$191.29 
5/20/2022,$193.54 
5/23/2022,$196.23 
5/24/2022,$181.28 
5/25/2022,$183.83 
5/26/2022,$191.63 
5/27/2022,$195.13 
5/31/2022,$193.64 
6/1/2022,$188.64 
6/2/2022,$198.86 
6/3/2022,$190.78 
6/6/2022,$194.25 
6/7/2022,$195.65 
6/8/2022,$196.64 
6/9/2022,$184.00 
6/10/2022,$175.57 
6/13/2022,$164.26 
6/14/2022,$163.73 
6/15/2022,$169.35 
6/16/2022,$160.87 
6/17/2022,$163.74 
6/21/2022,$157.05 
6/22/2022,$155.85 
6/23/2022,$158.75 
6/24/2022,$170.16 
6/27/2022,$169.49 
6/28/2022,$160.68 
6/29/2022,$163.94 
6/30/2022,$161.25 
7/1/2022,$160.03 
7/5/2022,$168.19 
7/6/2022,$169.77 
7/7/2022,$172.19 
7/8/2022,$170.88 
7/11/2022,$162.88 
7/12/2022,$163.27 
7/13/2022,$163.49 
7/14/2022,$158.05 
7/15/2022,$164.70 
7/18/2022,$167.23 
7/19/2022,$175.78 
7/20/2022,$183.09 
7/21/2022,$183.17 
7/22/2022,$169.27 
7/25/2022,$166.65 
7/26/2022,$159.15 
7/27/2022,$169.58 
7/28/2022,$160.72 
7/29/2022,$159.10 
8/1/2022,$159.93 
8/2/2022,$160.19 
8/3/2022,$168.80 
8/4/2022,$170.57 
8/5/2022,$167.11 
8/8/2022,$170.25 
8/9/2022,$168.53 
8/10/2022,$178.34 
8/11/2022,$177.49 
8/12/2022,$180.50 
8/15/2022,$180.89 
8/16/2022,$179.47 
8/17/2022,$174.85 
8/18/2022,$174.66 
8/19/2022,$167.96 
8/22/2022,$163.05 
8/23/2022,$161.11 
8/24/2022,$163.26 
8/25/2022,$168.78 
8/26/2022,$161.78 
8/29/2022,$159.17 
8/30/2022,$157.16 
8/31/2022,$162.93 
9/1/2022,$165.36 
9/2/2022,$160.32 
9/6/2022,$158.54 
9/7/2022,$160.39 
9/8/2022,$162.06 
9/9/2022,$169.15 
9/12/2022,$168.96 
9/13/2022,$153.13 
9/14/2022,$151.47 
9/15/2022,$149.55 
9/16/2022,$146.29 
9/19/2022,$148.02 
9/20/2022,$146.09 
9/21/2022,$142.12 
9/22/2022,$142.82 
9/23/2022,$140.41 
9/26/2022,$136.37 
9/27/2022,$134.40 
9/28/2022,$141.61 
9/29/2022,$136.41 
9/30/2022,$135.68 
10/3/2022,$138.61 
10/4/2022,$140.28 
10/5/2022,$138.98 
10/6/2022,$139.07 
10/7/2022,$133.45 
10/10/2022,$133.79 
10/11/2022,$128.54 
10/12/2022,$127.50 
10/13/2022,$130.29 
10/14/2022,$126.76 
10/17/2022,$134.04 
10/18/2022,$132.80 
